TIME,HR,RR,HRV,SPO2
2024-04-15 00:00:00,79,18,754,97
2024-04-15 00:00:01,79,18,778,97
2024-04-15 00:00:02,79,18,760,97
2024-04-15 00:00:03,79,18,767,97
2024-04-15 00:00:04,78,19,778,97
2024-04-15 00:00:05,78,19,785,97
2024-04-15 00:00:06,78,19,758,97
2024-04-15 00:00:07,78,19,764,97
2024-04-15 00:00:08,78,19,766,97
2024-04-15 00:00:09,78,19,759,97
2024-04-15 00:00:10,78,19,771,97
2024-04-15 00:00:11,78,19,767,97
2024-04-15 00:00:12,78,19,773,97
2024-04-15 00:00:13,78,19,770,97
2024-04-15 00:00:14,78,19,793,97
2024-04-15 00:00:15,78,19,778,97
2024-04-15 00:00:16,77,19,780,97
2024-04-15 00:00:17,77,19,808,97
2024-04-15 00:00:18,77,19,781,97
2024-04-15 00:00:19,77,19,771,97
2024-04-15 00:00:20,77,19,794,97
2024-04-15 00:00:21,77,19,759,97
2024-04-15 00:00:22,77,19,770,97
2024-04-15 00:00:23,77,19,770,97
2024-04-15 00:00:24,77,19,772,97
2024-04-15 00:00:25,77,19,777,97
2024-04-15 00:00:26,77,19,770,97
2024-04-15 00:00:27,77,19,783,97
2024-04-15 00:00:28,77,19,767,97
2024-04-15 00:00:29,77,19,805,97
2024-04-15 00:00:30,77,19,804,97
2024-04-15 00:00:31,77,19,803,97
2024-04-15 00:00:32,76,19,795,97
2024-04-15 00:00:33,76,19,782,97
2024-04-15 00:00:34,75,19,759,97
2024-04-15 00:00:35,75,19,766,97
2024-04-15 00:00:36,76,19,758,97
2024-04-15 00:00:37,77,19,745,97
2024-04-15 00:00:38,78,19,752,97
2024-04-15 00:00:39,78,19,773,97
2024-04-15 00:00:40,78,19,772,97
2024-04-15 00:00:41,78,19,811,97
2024-04-15 00:00:42,78,20,812,97
2024-04-15 00:00:43,78,20,786,97
2024-04-15 00:00:44,77,20,784,97
2024-04-15 00:00:45,77,20,810,97
2024-04-15 00:00:46,76,20,820,97
2024-04-15 00:00:47,75,20,784,97
2024-04-15 00:00:48,75,19,791,97
2024-04-15 00:00:49,75,19,770,97
2024-04-15 00:00:50,76,19,780,97
2024-04-15 00:00:51,76,19,785,97
2024-04-15 00:00:52,76,19,778,97
2024-04-15 00:00:53,76,19,783,97
2024-04-15 00:00:54,77,20,781,97
2024-04-15 00:00:55,77,20,793,97
2024-04-15 00:00:56,76,20,776,97
2024-04-15 00:00:57,76,19,813,97
2024-04-15 00:00:58,76,19,817,97
2024-04-15 00:00:59,75,19,769,97
2024-04-15 00:01:00,75,19,805,97
2024-04-15 00:01:01,76,19,815,97
2024-04-15 00:01:02,75,19,798,97
2024-04-15 00:01:03,75,19,776,97
2024-04-15 00:01:04,75,19,779,97
2024-04-15 00:01:05,76,19,773,97
2024-04-15 00:01:06,76,19,785,97
2024-04-15 00:01:07,77,19,795,97
2024-04-15 00:01:08,77,19,805,97
2024-04-15 00:01:09,76,19,790,97
2024-04-15 00:01:10,76,19,765,97
2024-04-15 00:01:11,76,19,778,97
2024-04-15 00:01:12,77,19,771,97
2024-04-15 00:01:13,77,19,780,97
2024-04-15 00:01:14,77,19,788,97
2024-04-15 00:01:15,77,19,783,97
2024-04-15 00:01:16,77,19,769,97
2024-04-15 00:01:17,77,19,766,97
2024-04-15 00:01:18,77,19,775,97
2024-04-15 00:01:19,77,19,760,98
2024-04-15 00:01:20,78,19,791,98
2024-04-15 00:01:21,78,19,775,98
2024-04-15 00:01:22,77,19,781,98
2024-04-15 00:01:23,77,19,764,98
2024-04-15 00:01:24,77,19,780,98
2024-04-15 00:01:25,77,19,765,98
2024-04-15 00:01:26,77,19,765,98
2024-04-15 00:01:27,77,19,844,98
2024-04-15 00:01:28,77,19,844,98
2024-04-15 00:01:29,77,19,844,98
2024-04-15 00:01:30,77,18,844,98
2024-04-15 00:01:31,77,0,844,98
2024-04-15 00:01:32,77,0,844,98
2024-04-15 00:01:33,77,0,844,98
2024-04-15 00:01:34,77,19,844,98
2024-04-15 00:01:35,77,19,844,98
2024-04-15 00:01:36,77,19,844,98
2024-04-15 00:01:36,77,19,844,98
2024-04-15 00:01:37,77,19,844,98
2024-04-15 00:01:38,77,19,844,98
2024-04-15 00:01:39,77,19,844,98
2024-04-15 00:01:40,77,19,628,98
2024-04-15 00:01:41,77,19,633,98
2024-04-15 00:01:41,77,19,633,98
2024-04-15 00:01:42,77,19,682,98
2024-04-15 00:01:42,77,19,682,98
2024-04-15 00:01:43,83,19,691,98
2024-04-15 00:01:44,85,19,743,98
2024-04-15 00:01:45,84,19,800,98
2024-04-15 00:01:46,83,19,782,98
2024-04-15 00:01:47,82,19,759,98
2024-04-15 00:01:48,80,19,789,98
